,Offense,District,Status,Activity,2016,2017
144,Burglary,District 5,Arrest,No Papered Cases,11,8
145,Burglary,District 5,Arrest,Papered Cases,63,42
146,Burglary,District 5,Conviction,Jury Trial,1,0
147,Burglary,District 5,Conviction,Court Trial,0,1
148,Burglary,District 5,Conviction,Guilty Pleas,30,22
149,Burglary,District 5,No Conviction,Dismissals,29,9
150,Burglary,District 5,No Conviction,Not Guilty Verdict,0,0
151,Burglary,District 5,In Progress,Pending Cases,3,10
152,Burglary,District 6,Arrest,No Papered Cases,6,6
153,Burglary,District 6,Arrest,Papered Cases,39,32
154,Burglary,District 6,Conviction,Jury Trial,1,0
155,Burglary,District 6,Conviction,Court Trial,0,0
156,Burglary,District 6,Conviction,Guilty Pleas,24,13
157,Burglary,District 6,No Conviction,Dismissals,9,13
158,Burglary,District 6,No Conviction,Not Guilty Verdict,1,0
159,Burglary,District 6,In Progress,Pending Cases,4,6
160,Burglary,District 7,Arrest,No Papered Cases,6,5
161,Burglary,District 7,Arrest,Papered Cases,38,37
162,Burglary,District 7,Conviction,Jury Trial,2,0
163,Burglary,District 7,Conviction,Court Trial,2,1
164,Burglary,District 7,Conviction,Guilty Pleas,18,16
165,Burglary,District 7,No Conviction,Dismissals,12,11
166,Burglary,District 7,No Conviction,Not Guilty Verdict,0,0
167,Burglary,District 7,In Progress,Pending Cases,2,9
168,First Degree Sexual/Child Abuse,District 1,Arrest,No Papered Cases,3,2
169,First Degree Sexual/Child Abuse,District 1,Arrest,Papered Cases,27,10
170,First Degree Sexual/Child Abuse,District 1,Conviction,Jury Trial,0,0
171,First Degree Sexual/Child Abuse,District 1,Conviction,Court Trial,0,0
172,First Degree Sexual/Child Abuse,District 1,Conviction,Guilty Pleas,19,4
173,First Degree Sexual/Child Abuse,District 1,No Conviction,Dismissals,6,3
174,First Degree Sexual/Child Abuse,District 1,No Conviction,Not Guilty Verdict,0,0
175,First Degree Sexual/Child Abuse,District 1,In Progress,Pending Cases,2,3
176,First Degree Sexual/Child Abuse,District 2,Arrest,No Papered Cases,5,0
177,First Degree Sexual/Child Abuse,District 2,Arrest,Papered Cases,1,4
178,First Degree Sexual/Child Abuse,District 2,Conviction,Jury Trial,0,0
179,First Degree Sexual/Child Abuse,District 2,Conviction,Court Trial,0,1
180,First Degree Sexual/Child Abuse,District 2,Conviction,Guilty Pleas,1,3
